#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	downstream_1.5km_2012	downstream_17.5km_2011	downstream_2.3km_2011	downstream_2.7km_2011	effluent_point_2011	upstream_1.9km_2011	upstream_150m_2012	upstream_2.2km_2011
UNCLASSIFIED	92.6091	98.59995	97.33405	98.11041	96.75502	98.1672	88.27704	94.85458
k__Bacteria	6.782819780997491	1.3652669910355637	2.4358952663886217	1.8197782236100175	2.908295334840446	1.6708562817361845	11.47463811486563	4.68355737125327
k__Archaea	0.6080828156912693	0.0347861401124427	0.2300584784071512	0.0698114576510962	0.3366808852247549	0.161948660808703	0.2483251870314249	0.4618604189778288
k__Bacteria|p__Cyanobacteria	4.993868067454689	0.0	0.0007208738925927	0.017371942734674	0.0156978969621874	0.0398763371349491	9.261466906878468	0.0154799894219102
k__Bacteria|p__Proteobacteria	1.376373792429403	0.1324236053936948	0.2397961410553922	0.529509323636555	1.1515343272906335	0.8773730733014448	1.899503395807295	2.523769797429104
k__Archaea|p__Euryarchaeota	0.6080828156912693	0.0347861401124427	0.2300584784071512	0.0698114576510962	0.3366808852247549	0.0058162232046719	0.1910303761897333	0.4618604189778288
k__Bacteria|p__Chloroflexi	0.1585186007132611	0.6760346950973984	1.766325787446818	0.9129501526091678	1.089094170366517	0.0006493627911436	0.0019049815365582	0.0019532005931717
k__Bacteria|p__Bacteroidota	0.1289350348894951	0.4504108128109989	0.1778199145640014	0.3030803590079401	0.4522604482310372	0.3057276265389931	0.0733845779735453	1.905851429582461
k__Bacteria|p__Elusimicrobia	0.0378724630859525	0.0016414222909579	0.0	0.0	0.0	0.0013630570357706	0.0095002894598573	0.0148805482493483
k__Bacteria|p__Candidatus_Aminicenantes	0.0336367368077902	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Hydrogenedentes	0.0239184389834041	0.0	0.0254134706676401	0.007900941334257	0.0196207487146242	0.0	0.0098707351001973	0.0040576764693762
k__Bacteria|p__Spirochaetes	0.0172126730574284	0.0024796341005762	0.0	0.0076951650179677	0.0250090317280425	0.0	0.0934882877399686	0.0
k__Bacteria|p__Firmicutes	0.0055498287598535	0.0985599602893655	0.0572161660800579	0.0154904782890423	0.030064704678904	0.0	0.0044195571648151	0.0130019562141349
k__Bacteria|p__Planctomycetota	0.0039955219437699	0.0	0.0	0.0	0.0003679803033553	0.0	0.0	0.0
k__Bacteria|p__Nitrospirae	0.0029386228724434	0.0	0.0008616362503179	0.0067549051925722	0.0	0.4402034576614196	0.0588609987388251	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	4.993868067454689	0.0	0.0007208738925927	0.017371942734674	0.0156978969621874	0.0330828623349122	9.261466906878468	0.0154799894219102
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.5987141075597068	0.0767810137918533	0.0513236085179358	0.3616924075771698	0.5139678895246631	0.3012827079923333	1.0814609490449565	0.5963590673055746
k__Archaea|p__Euryarchaeota|c__CFGB27277	0.4787701056790835	0.0013955729611283	0.081814654687914	0.0195141705563197	0.1046232252968541	0.0022468355790657	0.0595139677947407	0.2904670669270099
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.4007473033268789	0.0219762139836909	0.0031311626732626	0.025765689057804	0.1096665673380795	0.0397298960200397	0.2593740799434629	1.0952680379984046
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.2156340177999526	0.0225577960543697	0.0800183350546706	0.0683481594019276	0.3610655835280568	0.2449833388892164	0.0984002093634635	0.5455357176243459
k__Bacteria|p__Chloroflexi|c__CFGB39849	0.1562414636232214	0.6760346950973984	1.766142369829176	0.9129501526091678	1.089094170366517	0.0006493627911436	0.0	0.0019532005931717
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0.1145989011226979	0.0271821715465516	0.1382145057313154	0.0479122469990886	0.220177801986242	0.0035693876256061	0.1091654065635955	0.1708201525089871
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.1101340568640382	0.2954074305287752	0.1190553625489661	0.1317178168706366	0.1719934745921158	0.0905105061606597	0.0653051116658779	1.4559633687189415
k__Bacteria|p__Proteobacteria|c__CFGB6783	0.0771898476295577	0.0	0.0	0.0	0.0029305380243408	0.0	0.0332533577021611	0.0039233810650512
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0685358397790948	0.0099644581450065	0.0343297529671096	0.0702177194325673	0.1406031971273151	0.001317236912207	0.347303338485672	0.1895726276454843
k__Bacteria|p__Elusimicrobia|c__CFGB3228	0.0378724630859525	0.0016414222909579	0.0	0.0	0.0	0.0013630570357706	0.0095002894598573	0.0148805482493483
k__Bacteria|p__Candidatus_Aminicenantes|c__CFGB8486	0.0336367368077902	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Hydrogenedentes|c__CFGB8426	0.0239184389834041	0.0	0.0254134706676401	0.007900941334257	0.0196207487146242	0.0	0.0098707351001973	0.0040576764693762
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.0172126730574284	0.0024796341005762	0.0	0.0076951650179677	0.0250090317280425	0.0	0.0934882877399686	0.0
k__Archaea|p__Euryarchaeota|c__CFGB38	0.0141410139382446	0.0062085356100758	0.0100293179879216	0.0023850400956877	0.0118795334440366	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0132090211208021	0.0011441234187741	0.0023988251795672	0.0007624494363888	0.0098705686661943	0.0104310427695057	0.0797126335639094	0.0931114803320219
